title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url,place_id
Tongue Tip Lanzhou Beef Noodle 舌尖尖 (Downtown East),4.7,308,1 Pasir Ris Close E!Avenue@Downtown East #02-322,Singapore,,SG,https://www.facebook.com/Tonguetipbeefnoodles/,+65 9780 8123,Halal restaurant,https://www.google.com/maps/search/?api=1&query=Tongue%20Tip%20Lanzhou%20Beef%20Noodle%20%E8%88%8C%E5%B0%96%E5%B0%96%20(Downtown%20East)&query_place_id=ChIJ3YGBcSI92jER3UaKr6eQCjI,ChIJ3YGBcSI92jER3UaKr6eQCjI
Lemongrass,4.4,1078,"476 Upper Serangoon View, #02-06",Singapore,,SG,https://qashiereats.com/Lemongrass,+65 8068 6965,Thai restaurant,https://www.google.com/maps/search/?api=1&query=Lemongrass&query_place_id=ChIJ6bdDIk0X2jERzZHtC7S6ceE,ChIJ6bdDIk0X2jERzZHtC7S6ceE
Lau Wang Claypot Delights @ Punggol Oasis Terraces,4.6,1518,"681 Punggol Dr., #01-15",Singapore,,SG,https://www.lauwangclaypot.com/,,Restaurant,https://www.google.com/maps/search/?api=1&query=Lau%20Wang%20Claypot%20Delights%20%40%20Punggol%20Oasis%20Terraces&query_place_id=ChIJY5b4lRgV2jERkw16w9mMBQ4,ChIJY5b4lRgV2jERkw16w9mMBQ4
Sanook Kitchen (Waterway Point),4.6,925,"83 Punggol Central, #B1-13 Waterway Point West Wing",Singapore,,SG,https://sanookkitchen.com.sg/,+65 6231 1597,Thai restaurant,https://www.google.com/maps/search/?api=1&query=Sanook%20Kitchen%20(Waterway%20Point)&query_place_id=ChIJJQep-owV2jERrkjXxwYWNJU,ChIJJQep-owV2jERrkjXxwYWNJU
Ajumma's (Waterway Point),4.8,3451,"02-26 West Wing Waterway, Punggol Central, Point83",Singapore,,SG,http://www.ajummassg.com/,+65 8749 7993,Korean restaurant,https://www.google.com/maps/search/?api=1&query=Ajumma's%20(Waterway%20Point)&query_place_id=ChIJ0y_h3jsV2jER0X7-hrLJll8,ChIJ0y_h3jsV2jER0X7-hrLJll8
辣不辣 Labula Mala Sichuan Restaurant @ Oasis Terrace,4.6,1236,"681 Punggol Dr., #01-07",Singapore,,SG,https://www.labula.sg/labula-store-location/,+65 8870 6606,Chinese restaurant,https://www.google.com/maps/search/?api=1&query=%E8%BE%A3%E4%B8%8D%E8%BE%A3%20Labula%20Mala%20Sichuan%20Restaurant%20%40%20Oasis%20Terrace&query_place_id=ChIJkSFt868V2jERvdiIQsspXoM,ChIJkSFt868V2jERvdiIQsspXoM
Takagi Ramen - E!Avenue@Downtown East,4.4,1345,"1 Pasir Ris Close, #02-316, E!Avenue@Downtown East",Singapore,,SG,https://takagiramen.com/,+65 9170 7870,Ramen restaurant,https://www.google.com/maps/search/?api=1&query=Takagi%20Ramen%20-%20E!Avenue%40Downtown%20East&query_place_id=ChIJ8ZWWuG492jERccIy0SHR9hc,ChIJ8ZWWuG492jERccIy0SHR9hc
White Restaurant (Waterway Point),4.4,2673,"83 Punggol Central, B1-12 Waterway Point West Wing",Singapore,,SG,https://whiterestaurant.com.sg/,+65 8073 6693,Chinese restaurant,https://www.google.com/maps/search/?api=1&query=White%20Restaurant%20(Waterway%20Point)&query_place_id=ChIJE8vfxYoV2jERyXYCN80Q6lk,ChIJE8vfxYoV2jERyXYCN80Q6lk
The Punggol Settlement,4.2,4028,500 New Punggol Rd,Singapore,,SG,http://www.punggolsettlement.com/,+65 6702 6383,Seafood restaurant,https://www.google.com/maps/search/?api=1&query=The%20Punggol%20Settlement&query_place_id=ChIJV8fL1fQV2jERLHmEh5JwNlg,ChIJV8fL1fQV2jERLHmEh5JwNlg
Rasa Istimewa @ Pasir Ris,4.3,792,201 Pasir Ris Rd,Singapore,,SG,https://www.rasaistimewa.sg/,+65 6386 9339,Restaurant,https://www.google.com/maps/search/?api=1&query=Rasa%20Istimewa%20%40%20Pasir%20Ris&query_place_id=ChIJcwkC8Co92jERxiPJ0rflF9c,ChIJcwkC8Co92jERxiPJ0rflF9c
HAEDEUM CHARCOAL BBQ,4.4,827,"1 Pasir Ris Cl, 303 E!hub, #01-302",Singapore,,SG,,+65 9732 4633,Korean barbecue restaurant,https://www.google.com/maps/search/?api=1&query=HAEDEUM%20CHARCOAL%20BBQ&query_place_id=ChIJix3npEI92jERcbHJQcxoy5I,ChIJix3npEI92jERcbHJQcxoy5I
Jacob's Cafe,4.5,465,"5 Changi Village Rd, #01-2049",Singapore,,SG,https://www.jacobscafe.com.sg/,+65 6542 7500,Cafe,https://www.google.com/maps/search/?api=1&query=Jacob's%20Cafe&query_place_id=ChIJ2aQnVRY82jERUyIeg6PS-Z4,ChIJ2aQnVRY82jERUyIeg6PS-Z4
Rise & Grind Coffee Co.,4.4,1862,"681 Punggol Dr., #01-06 Oasis Terraces",Singapore,,SG,http://www.riseandgrind.co/,+65 8896 2020,Restaurant,https://www.google.com/maps/search/?api=1&query=Rise%20%26%20Grind%20Coffee%20Co.&query_place_id=ChIJeUa2RlYV2jERnmiXr4IBYLw,ChIJeUa2RlYV2jERnmiXr4IBYLw
Genki Sushi Waterway Point,4.6,5261,"83 Punggol Central, #02-23 Waterway Point West Wing",Singapore,,SG,https://www.genkisushi.com.sg/,+65 6957 2728,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=Genki%20Sushi%20Waterway%20Point&query_place_id=ChIJdzpqpeQV2jERbtKTQkJFFIE,ChIJdzpqpeQV2jERbtKTQkJFFIE
House Of Seafood 螃蟹之家,4.3,3677,"500 New Punggol Rd, #01-01/02 The Punggol Settlement",Singapore,,SG,https://www.houseofseafood.com.sg/,+65 6466 9000,Seafood restaurant,https://www.google.com/maps/search/?api=1&query=House%20Of%20Seafood%20%E8%9E%83%E8%9F%B9%E4%B9%8B%E5%AE%B6&query_place_id=ChIJMz792-oV2jERfnhUlbQyDRE,ChIJMz792-oV2jERfnhUlbQyDRE
Maruhachi - Donburi & Curry,4.5,709,671 Edgefield Plains,Singapore,,SG,https://www.facebook.com/Maruhachi2020/,+65 9176 5750,Japanese restaurant,https://www.google.com/maps/search/?api=1&query=Maruhachi%20-%20Donburi%20%26%20Curry&query_place_id=ChIJMUqG7o4V2jER1fqj-NdSodI,ChIJMUqG7o4V2jER1fqj-NdSodI
Ciclo e Caffè (Changi Village),4.9,177,"1 Changi Village Rd, #01-2052",Singapore,,SG,http://www.ciclo-e-caffe.com/,+65 6208 8999,Cafe,https://www.google.com/maps/search/?api=1&query=Ciclo%20e%20Caff%C3%A8%20(Changi%20Village)&query_place_id=ChIJk9o2T_I92jER8PI7BDdLI3g,ChIJk9o2T_I92jER8PI7BDdLI3g
"Courtyard Cafe, Changi Beach Club",4.5,689,"2 Andover Rd, Changi Beach Club",Singapore,,SG,https://m.facebook.com/CourtyardCafeAndLounge/,+65 9154 7619,Cafe,https://www.google.com/maps/search/?api=1&query=Courtyard%20Cafe%2C%20Changi%20Beach%20Club&query_place_id=ChIJiRgBUacZ2jERM114OANrnV4,ChIJiRgBUacZ2jERM114OANrnV4
Anna's,4.2,1123,"681 Punggol Dr., #01-04 Oasis Terraces",Singapore,,SG,https://betterforme.shop/annas/,+65 6966 7503,Cafe,https://www.google.com/maps/search/?api=1&query=Anna's&query_place_id=ChIJEzhoAw0V2jERO8PSynsw4_w,ChIJEzhoAw0V2jERO8PSynsw4_w
Whisk & Paddle,4.0,3074,10 Tebing Ln,Singapore,,SG,http://www.whiskandpaddle.com.sg/,+65 6242 4617,Cafe,https://www.google.com/maps/search/?api=1&query=Whisk%20%26%20Paddle&query_place_id=ChIJ7aoYFPg92jER2jM2zMAKjrY,ChIJ7aoYFPg92jER2jM2zMAKjrY
Eutopia Cafe | Acai Forest,4.7,91,"625 Elias Rd, #01-K8",Singapore,,SG,,,Cafe,https://www.google.com/maps/search/?api=1&query=Eutopia%20Cafe%20%7C%20Acai%20Forest&query_place_id=ChIJR8azF6g92jER-kA4NUUJyJU,ChIJR8azF6g92jER-kA4NUUJyJU
White Cloud Cafe,4.5,291,"88 Punggol Wy, #02-126 Punggol Coast Mall",Singapore,,SG,,+65 9782 0388,Cafe,https://www.google.com/maps/search/?api=1&query=White%20Cloud%20Cafe&query_place_id=ChIJ3_nNeAAV2jERpbsobXEKMdY,ChIJ3_nNeAAV2jERpbsobXEKMdY
Richton Cafe Pte Ltd,4.0,264,"476A Pasir Ris Drive 6, #01-600",Singapore,,SG,,+65 9388 9150,Cafe,https://www.google.com/maps/search/?api=1&query=Richton%20Cafe%20Pte%20Ltd&query_place_id=ChIJD1KpUbI92jERpMk8Lxdlo_4,ChIJD1KpUbI92jERpMk8Lxdlo_4
Sweet Reservations Rivervale Plaza,4.7,187,"118 Rivervale Drive, #01-K20, K21 Rivervale Plaza",Singapore,,SG,,+65 8699 9707,Cafe,https://www.google.com/maps/search/?api=1&query=Sweet%20Reservations%20Rivervale%20Plaza&query_place_id=ChIJYQ0Qy_gX2jERgHlpphwbQnA,ChIJYQ0Qy_gX2jERgHlpphwbQnA
Artease Cafe - Punggol Regional Library,3.5,127,"1 Punggol Dr., #02-45 Punggol Regional Library",Singapore,,SG,https://www.artease.sg/,,Cafe,https://www.google.com/maps/search/?api=1&query=Artease%20Cafe%20-%20Punggol%20Regional%20Library&query_place_id=ChIJL_NXS9sV2jERFRHWEMYrL-0,ChIJL_NXS9sV2jERFRHWEMYrL-0
Into The Woods Cafe,4.3,296,26 Jln Kelulut,Singapore,,SG,https://www.facebook.com/p/i2-The-Woods-Cafe-100023430863884/,+65 6996 7601,Cafe,https://www.google.com/maps/search/?api=1&query=Into%20The%20Woods%20Cafe&query_place_id=ChIJ89Dk7akX2jERmOVdAhU0JcY,ChIJ89Dk7akX2jERmOVdAhU0JcY
Mamana Kitchen,4.6,67,"231A Sumang Ln, #01-04",Singapore,,SG,http://mamanakitchen.com/,+65 9725 9774,Cafe,https://www.google.com/maps/search/?api=1&query=Mamana%20Kitchen&query_place_id=ChIJRUmSL-UV2jERuAODGyJrE-w,ChIJRUmSL-UV2jERuAODGyJrE-w
The Apricus Coffee & Food Co.,4.1,565,248 Jln Kayu,Singapore,,SG,https://www.instagram.com/theapricuscafe/,+65 6904 1175,Cafe,https://www.google.com/maps/search/?api=1&query=The%20Apricus%20Coffee%20%26%20Food%20Co.&query_place_id=ChIJz3jwOtQX2jERR51lZ8T87Tc,ChIJz3jwOtQX2jERR51lZ8T87Tc
Yi Jia Bakery & Cafe,4.1,49,"401 Hougang Ave 10, #01-1164",Singapore,,SG,,+65 6280 3394,Cafe,https://www.google.com/maps/search/?api=1&query=Yi%20Jia%20Bakery%20%26%20Cafe&query_place_id=ChIJrVvehzkW2jERwhxSEfSoSF0,ChIJrVvehzkW2jERwhxSEfSoSF0
SOD Cafe,4.3,738,"51 Hougang Ave 9, #01-03 Community Club, Ci Yuan Community Centre",Singapore,,SG,https://www.sodcafe.com.sg/,+65 8128 3506,Cafe,https://www.google.com/maps/search/?api=1&query=SOD%20Cafe&query_place_id=ChIJpWI3pEUW2jERLtdlixr3ll8,ChIJpWI3pEUW2jERLtdlixr3ll8
YC Dining & Bar | Western Restaurant Bar,4.8,1324,"2 Venture Dr, #01-45",Singapore,,SG,https://www.ycdiningandbar.info/,+65 6980 5432,Western restaurant,https://www.google.com/maps/search/?api=1&query=YC%20Dining%20%26%20Bar%20%7C%20Western%20Restaurant%20Bar&query_place_id=ChIJ487Dp2oR2jERTV1zM0iJNYo,ChIJ487Dp2oR2jERTV1zM0iJNYo
Lazy Lizard - NEWest,4.7,889,"1 West Coast Drive #01-85 & #01-86, NEWest",Singapore,,SG,https://lazylizard.com.sg/,+65 6254 7326,Restaurant,https://www.google.com/maps/search/?api=1&query=Lazy%20Lizard%20-%20NEWest&query_place_id=ChIJpaXv6kIb2jERaR2t1KW20sk,ChIJpaXv6kIb2jERaR2t1KW20sk
Legendary Hong Kong Restaurant @ Jurong Point 香港傳奇餐廳,4.4,3438,"63 Jurong West Central 3, #03-80",Singapore,,SG,http://www.lhk.com.sg/,,Hong Kong style fast food restaurant,https://www.google.com/maps/search/?api=1&query=Legendary%20Hong%20Kong%20Restaurant%20%40%20Jurong%20Point%20%E9%A6%99%E6%B8%AF%E5%82%B3%E5%A5%87%E9%A4%90%E5%BB%B3&query_place_id=ChIJHcaYLpMP2jERjhDMRZ9A7-k,ChIJHcaYLpMP2jERjhDMRZ9A7-k
Mariners' Corner Restaurant,4.3,1122,"106 Clementi Street 12, #01-40",Singapore,,SG,https://www.facebook.com/pages/category/Family-Style-Restaurant/Mariners-Corner-Restaurant-164932550195771/,+65 6224 9928,Restaurant,https://www.google.com/maps/search/?api=1&query=Mariners'%20Corner%20Restaurant&query_place_id=ChIJbfDuOGwZ2jER0mtQ4rwdx7Q,ChIJbfDuOGwZ2jER0mtQ4rwdx7Q
The Frontier Community Club,4.2,473,"60 Jurong West Central 3, #01-01 The Frontier Community Place",Singapore,,SG,,+65 6795 8229,Community center,https://www.google.com/maps/search/?api=1&query=The%20Frontier%20Community%20Club&query_place_id=ChIJd4ldQJMP2jERlQdLPkzVa4A,ChIJd4ldQJMP2jERlQdLPkzVa4A
Jurong Green Community Club,4.1,968,6 Jurong West Ave 1,Singapore,,SG,,+65 6567 1374,Community center,https://www.google.com/maps/search/?api=1&query=Jurong%20Green%20Community%20Club&query_place_id=ChIJl3OX0d4P2jERfrhbQVC52gI,ChIJl3OX0d4P2jERfrhbQVC52gI
Jurong Spring Community Club,4.1,492,8 Jurong West Street 52,Singapore,,SG,,+65 6562 4066,Community center,https://www.google.com/maps/search/?api=1&query=Jurong%20Spring%20Community%20Club&query_place_id=ChIJ7zhb19wP2jERictRTHw9CFo,ChIJ7zhb19wP2jERictRTHw9CFo
Clementi Community Centre,4.2,902,220 Clementi Ave 4,Singapore,,SG,,+65 6776 1670,Community center,https://www.google.com/maps/search/?api=1&query=Clementi%20Community%20Centre&query_place_id=ChIJq6qq2oUa2jERdIXhE3knPCM,ChIJq6qq2oUa2jERdIXhE3knPCM
Senja-Cashew Community Club,4.3,1238,101 Bukit Panjang Rd,Singapore,,SG,https://www.onepa.gov.sg/cc/senja-cashew-cc,+65 6219 4561,Community center,https://www.google.com/maps/search/?api=1&query=Senja-Cashew%20Community%20Club&query_place_id=ChIJs45bbr0R2jERwByR91EdWqw,ChIJs45bbr0R2jERwByR91EdWqw
ACE The Place Community Club,4.2,713,120 Woodlands Ave 1,Singapore,,SG,https://www.onepa.gov.sg/cc/ace-the-place-cc,+65 6891 3430,Community center,https://www.google.com/maps/search/?api=1&query=ACE%20The%20Place%20Community%20Club&query_place_id=ChIJzb2egbsT2jERcq5yvbCJ7yY,ChIJzb2egbsT2jERcq5yvbCJ7yY
Woodlands Galaxy Community Club,4.3,987,31 Woodlands Ave 6,Singapore,,SG,,+65 6366 2218,Community center,https://www.google.com/maps/search/?api=1&query=Woodlands%20Galaxy%20Community%20Club&query_place_id=ChIJH8K10p8T2jERZ1EVYVpGL8c,ChIJH8K10p8T2jERZ1EVYVpGL8c
Ci Yuan Community Club,4.2,3382,51 Hougang Ave 9,Singapore,,SG,,+65 6386 3717,Community center,https://www.google.com/maps/search/?api=1&query=Ci%20Yuan%20Community%20Club&query_place_id=ChIJWzXCpUUW2jERt2u2OJN48A8,ChIJWzXCpUUW2jERt2u2OJN48A8
Canberra Community Club,4.1,1045,"2 Sembawang Cres, #01-01",Singapore,,SG,,+65 6755 6369,Community center,https://www.google.com/maps/search/?api=1&query=Canberra%20Community%20Club&query_place_id=ChIJFwBnxn0T2jERFDDiOhsMo_U,ChIJFwBnxn0T2jERFDDiOhsMo_U
Kebun Baru Community Club,4.3,797,216 Ang Mo Kio Ave 4,Singapore,,SG,https://www.onepa.gov.sg/cc/kebun-baru-cc,+65 6457 7379,Community center,https://www.google.com/maps/search/?api=1&query=Kebun%20Baru%20Community%20Club&query_place_id=ChIJq6qqmoIZ2jER48d5nbUw7hA,ChIJq6qqmoIZ2jER48d5nbUw7hA
Bukit Panjang Community Club,4.1,935,8 Pending Rd,Singapore,,SG,https://m.facebook.com/bukitpanjangcc/,+65 6506 0900,Community center,https://www.google.com/maps/search/?api=1&query=Bukit%20Panjang%20Community%20Club&query_place_id=ChIJJWt786YR2jERcIgIkdUxv_0,ChIJJWt786YR2jERcIgIkdUxv_0
Marsiling Community Club,4.1,575,100 Admiralty Rd,Singapore,,SG,,+65 6269 6768,Community center,https://www.google.com/maps/search/?api=1&query=Marsiling%20Community%20Club&query_place_id=ChIJq6qquv8S2jERFxNiPdcRSiY,ChIJq6qquv8S2jERFxNiPdcRSiY
Keat Hong Community Club,4.2,1100,"2 Choa Chu Kang Loop, #01-01",Singapore,,SG,,+65 6769 4194,Community center,https://www.google.com/maps/search/?api=1&query=Keat%20Hong%20Community%20Club&query_place_id=ChIJVVVVVegR2jER_ncZsSw8hfM,ChIJVVVVVegR2jER_ncZsSw8hfM
Zhenghua Community Club,3.9,514,640A Senja Cl,Singapore,,SG,https://zhenghua.pa.gov.sg/,+65 6310 6702,Community center,https://www.google.com/maps/search/?api=1&query=Zhenghua%20Community%20Club&query_place_id=ChIJn3ut854R2jERfkj909V6YhA,ChIJn3ut854R2jERfkj909V6YhA
Fernvale Hawker Centre & Market,3.9,1059,"21 Sengkang W Ave, Fernvale Community Club",Singapore,,SG,https://www.nea.gov.sg/our-services/hawker-management/overview,+65 6225 5632,Community center,https://www.google.com/maps/search/?api=1&query=Fernvale%20Hawker%20Centre%20%26%20Market&query_place_id=ChIJq6pqKmUW2jER_M5aWJXKWjs,ChIJq6pqKmUW2jER_M5aWJXKWjs
Tuas South Minimart,4.1,198,"6, #01-102 Tuas South Street 15",Singapore,,SG,,+65 6264 5065,Grocery store,https://www.google.com/maps/search/?api=1&query=Tuas%20South%20Minimart&query_place_id=ChIJe-ZwN_wF2jER0KBwGkVwwHk,ChIJe-ZwN_wF2jER0KBwGkVwwHk
Octobox,4.9,189,"50 Nanyang Ave, Nanyang Technological University, 50 Nanyang Ave, Block N3.1 North Spine",Singapore,,SG,,,Convenience store,https://www.google.com/maps/search/?api=1&query=Octobox&query_place_id=ChIJ1ZD3MgAP2jERQvGVLFKfqVQ,ChIJ1ZD3MgAP2jERQvGVLFKfqVQ
Popular Supermarket Pte Ltd,4.3,153,"12 Tuas South Street 13, #01-18/19",Singapore,,SG,,+65 9036 0921,Supermarket,https://www.google.com/maps/search/?api=1&query=Popular%20Supermarket%20Pte%20Ltd&query_place_id=ChIJLfRqV6AG2jERjP1FABo-jd0,ChIJLfRqV6AG2jERjP1FABo-jd0
Star Supermart Pte Ltd,4.2,110,"15 Tech Park Cres, #01-02",Singapore,,SG,,+65 9036 0921,Supermarket,https://www.google.com/maps/search/?api=1&query=Star%20Supermart%20Pte%20Ltd&query_place_id=ChIJKT_1j6UH2jERkLci31GhzzY,ChIJKT_1j6UH2jERkLci31GhzzY
BS Supermarket,4.3,62,32 Tuas View Square,Singapore,,SG,,+65 9239 3995,Indian grocery store,https://www.google.com/maps/search/?api=1&query=BS%20Supermarket&query_place_id=ChIJaXaqRyQH2jERsidCj1nXpT4,ChIJaXaqRyQH2jERsidCj1nXpT4
Akka kadai,4.1,79,Tuas View Square,,,SG,,,Grocery store,https://www.google.com/maps/search/?api=1&query=Akka%20kadai&query_place_id=ChIJJejSdc0H2jERcYUkcT2h68E,ChIJJejSdc0H2jERcYUkcT2h68E
UNIQLO,4.2,143,"63 Jurong West Central 3, #03-17 JP2",Singapore,,SG,https://www.uniqlo.com/sg/en/,,Clothing store,https://www.google.com/maps/search/?api=1&query=UNIQLO&query_place_id=ChIJxblKLZMP2jERAx_jhjWrz_U,ChIJxblKLZMP2jERAx_jhjWrz_U
Prime Supermarket,4.0,898,"962 Jurong West Street 91, #01-300",Singapore,,SG,http://www.primesupermarket.com/,+65 6791 8921,Supermarket,https://www.google.com/maps/search/?api=1&query=Prime%20Supermarket&query_place_id=ChIJhYB_Y5kP2jER2c0QSdbUyvA,ChIJhYB_Y5kP2jER2c0QSdbUyvA
Decathlon - Joo Koon,4.7,4250,"1 Joo Koon Cir, #02-21 Fair Price Hub",Singapore,,SG,https://www.decathlon.sg/s/sports-stores/joo-koon?utm_source=google-my-business&utm_medium=organic&utm_campaign=gmb,,Sporting goods store,https://www.google.com/maps/search/?api=1&query=Decathlon%20-%20Joo%20Koon&query_place_id=ChIJY18bnYAF2jERsAwTOQ0BnIs,ChIJY18bnYAF2jERsAwTOQ0BnIs
Suntec City,4.4,26749,3 Temasek Blvd,Singapore,,SG,https://sunteccity.com.sg/,,Shopping mall,https://www.google.com/maps/search/?api=1&query=Suntec%20City&query_place_id=ChIJ20X__K4Z2jERRE8GRs-d8HE,ChIJ20X__K4Z2jERRE8GRs-d8HE
City Square Mall,4.3,22299,180 Kitchener Rd,Singapore,,SG,http://www.citysquaremall.com.sg/,+65 6595 6595,Shopping mall,https://www.google.com/maps/search/?api=1&query=City%20Square%20Mall&query_place_id=ChIJZ1omp8gZ2jERgDUAb_hBKLY,ChIJZ1omp8gZ2jERgDUAb_hBKLY
Westgate,4.3,14585,3 Gateway Dr,Singapore,,SG,https://www.capitaland.com/sg/malls/westgate/en.html,+65 6908 3737,Shopping mall,https://www.google.com/maps/search/?api=1&query=Westgate&query_place_id=ChIJ82AoVA8Q2jERkHnr1RPW9B4,ChIJ82AoVA8Q2jERkHnr1RPW9B4
Paragon Shopping Centre,4.4,13836,290 Orchard Rd,Singapore,,SG,https://www.paragon.com.sg/,,Shopping mall,https://www.google.com/maps/search/?api=1&query=Paragon%20Shopping%20Centre&query_place_id=ChIJl_sOMpIZ2jERKgmuCf4FCs0,ChIJl_sOMpIZ2jERKgmuCf4FCs0
Boon Lay Shopping Centre,4.3,1570,221 Boon Lay Pl,Singapore,,SG,,,Shopping mall,https://www.google.com/maps/search/?api=1&query=Boon%20Lay%20Shopping%20Centre&query_place_id=ChIJjyf3EsIP2jER-6PJOuQZ2po,ChIJjyf3EsIP2jER-6PJOuQZ2po
